animal_type,dog,sexo,sterilized,age_years,breed_main,los,desenlace
Dog,1,Macho,1,6,Spinone Italiano Mix,1.11,Devolucion
Dog,1,Macho,1,10,Dachshund,4.97,Transferencia
Dog,1,Macho,1,16,Shetland Sheepdog,0.12,Devolucion
Dog,1,Hembra,1,15,Labrador Retriever,0.87,Devolucion
Dog,1,Hembra,0,15,Miniature Schnauzer Mix,0.18,Devolucion
Dog,1,Macho,1,15,Lhasa Apso Mix,0.21,Devolucion
Dog,1,Macho,1,15,Shetland Sheepdog Mix,6.26,Devolucion
Dog,1,Hembra,1,18,Shetland Sheepdog Mix,0.05,Devolucion
Cat,0,Hembra,0,16,Domestic Longhair Mix,3.9,Devolucion
Cat,0,Hembra,1,14,American Shorthair Mix,14.12,Transferencia
Dog,1,Macho,1,16,Dachshund Mix,49.75,Adopcion
Dog,1,Macho,1,14,Border Collie Mix,0.13,Muerte
Dog,1,Macho,1,17,Chihuahua Shorthair,9.02,Adopcion
Dog,1,Hembra,0,13,German Shepherd,10.89,Devolucion
Cat,0,Hembra,1,19,Domestic Shorthair,0.07,Muerte
Dog,1,Macho,1,13,Newfoundland Mix,0.11,Devolucion
Dog,1,Macho,1,15,Pug,0.07,Muerte
Dog,1,Macho,1,15,Pug,0.07,Muerte
Cat,0,Hembra,1,18,Snowshoe Mix,9.14,Transferencia
Dog,1,Hembra,1,16,Staffordshire Mix,0.94,Muerte
Dog,1,Macho,1,12,Labrador Retriever Mix,1.06,Devolucion
Dog,1,Macho,1,15,Labrador Retriever,23.1,Adopcion
Dog,1,Hembra,1,12,Catahoula,0.03,Devolucion
Dog,1,Macho,0,13,Queensland Heeler,0.07,Muerte
Dog,1,Macho,1,13,Rottweiler,0.18,Devolucion
Cat,0,Macho,1,12,Domestic Shorthair Mix,0.2,Devolucion
Dog,1,Macho,1,12,Smooth Fox Terrier Mix,4.2,Devolucion
Dog,1,Macho,1,15,Rat Terrier Mix,7.84,Transferencia
Cat,0,Macho,1,13,Domestic Shorthair,4.8,Devolucion
Dog,1,Macho,1,14,Labrador Retriever Mix,0.9,Devolucion
Dog,1,Hembra,1,15,German Shepherd Mix,89.86,Adopcion
Dog,1,Hembra,1,14,Border Collie,0.06,Muerte
Dog,1,Macho,1,12,German Shepherd Mix,0.04,Devolucion
Cat,0,Macho,1,17,Domestic Shorthair Mix,2.04,Devolucion
Dog,1,Hembra,1,18,Chihuahua Shorthair Mix,0.7,Devolucion
Dog,1,Hembra,1,12,Pit Bull,0.07,Devolucion
Dog,1,Hembra,1,17,Labrador Retriever Mix,4.02,Muerte
Dog,1,Macho,0,16,Labrador Retriever Mix,0.12,Devolucion
Cat,0,Hembra,1,14,Domestic Shorthair Mix,0.09,Muerte
Cat,0,Macho,1,14,Domestic Longhair Mix,3.81,Transferencia
Dog,1,Macho,1,13,Border Collie,0.88,Devolucion
Dog,1,Macho,1,14,Bichon Frise Mix,0.85,Devolucion
Cat,0,Macho,1,20,Domestic Shorthair Mix,0.09,Muerte
Dog,1,Macho,1,12,Jack Russell Terrier Mix,6.73,Devolucion
Dog,1,Hembra,1,13,Labrador Retriever Mix,0.05,Muerte
Dog,1,Macho,1,12,Harrier Mix,6.71,Muerte
Dog,1,Hembra,1,11,Pointer Mix,2.76,Adopcion
Cat,0,Hembra,1,14,Domestic Shorthair Mix,5.84,Transferencia
Dog,1,Macho,1,11,Border Collie,0.34,Devolucion
Cat,0,Hembra,1,14,Domestic Shorthair Mix,10.78,Devolucion
Dog,1,Macho,1,12,American Eskimo Mix,9.06,Muerte
Dog,1,Macho,1,16,Chihuahua Shorthair Mix,0.82,Devolucion
Dog,1,Macho,1,12,Labrador Retriever Mix,146.96,Adopcion
Cat,0,Macho,1,12,Domestic Shorthair Mix,37.14,Adopcion
Cat,0,Hembra,1,19,Domestic Shorthair Mix,0.86,Devolucion
Dog,1,Hembra,1,13,Doberman Pinsch Mix,0.3,Muerte
Dog,1,Macho,1,11,German Shepherd Mix,1.01,Devolucion
Dog,1,Macho,1,17,Parson Russell Terrier Mix,0.83,Devolucion
Dog,1,Hembra,1,13,Chihuahua Shorthair Mix,0.41,Devolucion
Cat,0,Hembra,1,12,Domestic Shorthair Mix,0.23,Devolucion
Cat,0,Hembra,1,11,Domestic Longhair Mix,10.94,Transferencia
Dog,1,Macho,1,15,Pit Bull Mix,3.47,Devolucion
Cat,0,Hembra,1,12,Domestic Shorthair Mix,1.93,Devolucion
Cat,0,Hembra,1,15,Domestic Shorthair,5.82,Transferencia
Cat,0,Macho,1,15,Siamese,0.81,Devolucion
Dog,1,Hembra,1,12,Australian Shepherd Mix,0.07,Devolucion
Dog,1,Macho,1,12,Australian Shepherd Mix,0.75,Devolucion
Dog,1,Macho,1,11,Chow Chow,0.19,Devolucion
Cat,0,Hembra,1,12,Domestic Longhair Mix,174.19,Adopcion
Dog,1,Macho,1,15,Australian Cattle Dog Mix,0.32,Devolucion
Dog,1,Hembra,1,18,Parson Russell Terrier Mix,0.89,Devolucion
Dog,1,Hembra,1,13,German Shepherd Mix,0.05,Muerte
Cat,0,Hembra,1,13,Domestic Shorthair,51.18,Transferencia
Dog,1,Hembra,1,10,German Shepherd Mix,147.84,Adopcion
Cat,0,Hembra,1,15,Domestic Shorthair Mix,17.27,Transferencia
Dog,1,Macho,1,16,Miniature Schnauzer,7.94,Transferencia
Cat,0,Macho,1,13,Domestic Shorthair Mix,8.07,Adopcion
Dog,1,Hembra,1,11,Rat Terrier,0.66,Devolucion
Dog,1,Hembra,1,12,Siberian Husky Mix,3.17,Muerte
Dog,1,Hembra,1,13,Labrador Retriever,0.08,Devolucion
Dog,1,Hembra,1,14,Chihuahua Shorthair Mix,0.8,Devolucion
Dog,1,Macho,1,13,Beagle Mix,2.86,Devolucion
Dog,1,Hembra,1,13,Queensland Heeler,11.05,Muerte
Cat,0,Macho,1,12,Domestic Longhair Mix,21.16,Adopcion
Dog,1,Hembra,1,14,Labrador Retriever Mix,0.91,Devolucion
Dog,1,Hembra,1,14,Pit Bull,0.28,Devolucion
Dog,1,Macho,0,13,Dachshund,2.03,Devolucion
Dog,1,Hembra,1,11,Chow Chow,5,Devolucion
Dog,1,Macho,1,13,Chihuahua Shorthair Mix,0.1,Devolucion
Cat,0,Macho,1,12,Domestic Shorthair,0.89,Devolucion
Dog,1,Macho,1,16,Labrador Retriever,0.46,Devolucion
Cat,0,Macho,1,13,Siamese Mix,30.14,Adopcion
Dog,1,Hembra,1,15,Labrador Retriever,6.19,Devolucion
Cat,0,Hembra,1,14,Siamese Mix,3.07,Transferencia
Cat,0,Hembra,1,17,Domestic Shorthair Mix,1.8,Devolucion
Dog,1,Hembra,1,15,Golden Retriever Mix,0.11,Devolucion
Dog,1,Macho,1,13,German Shepherd Mix,7.02,Devolucion
Cat,0,Macho,1,12,Domestic Shorthair,48.1,Adopcion
Dog,1,Macho,1,14,German Shepherd Mix,0.02,Muerte
Dog,1,Hembra,1,14,Australian Shepherd,2.23,Devolucion
Cat,0,Hembra,1,18,Domestic Shorthair,0.19,Devolucion
Cat,0,Hembra,1,10,Domestic Shorthair Mix,57.15,Adopcion
Cat,0,Macho,1,16,Domestic Longhair Mix,0.88,Devolucion
Dog,1,Macho,1,11,Rottweiler Mix,7.96,Devolucion
Cat,0,Hembra,1,12,Domestic Shorthair Mix,0.74,Devolucion
Dog,1,Macho,1,11,Australian Cattle Dog Mix,0.29,Devolucion
Dog,1,Hembra,1,12,Pit Bull Mix,7.56,Muerte
Cat,0,Hembra,1,14,Domestic Shorthair Mix,1.05,Devolucion
Dog,1,Macho,1,10,Parson Russell Terrier Mix,0.61,Devolucion
Dog,1,Hembra,1,14,Chow Chow Mix,3.47,Devolucion
Dog,1,Macho,1,16,Chihuahua Shorthair,1.21,Devolucion
Dog,1,Hembra,1,10,Labrador Retriever Mix,2.08,Devolucion
Dog,1,Hembra,1,15,Chinese Sharpei,10.03,Devolucion
Dog,1,Macho,1,14,Labrador Retriever,0.15,Devolucion
Dog,1,Macho,1,15,Border Collie Mix,10.03,Devolucion
Dog,1,Macho,0,14,Pit Bull,0.05,Devolucion
Cat,0,Hembra,1,14,Domestic Shorthair Mix,102.87,Adopcion
Dog,1,Macho,1,9,Cocker Spaniel Mix,0.05,Devolucion
Dog,1,Macho,1,12,Chihuahua Shorthair Mix,0.11,Devolucion
Dog,1,Macho,1,12,Chihuahua Shorthair Mix,0.13,Devolucion
Dog,1,Macho,1,12,Labrador Retriever,0.07,Muerte
